player_name,ath__athleticism_score,stature__height_inches,stature__weight_lbs,stature__wingspan_in,shot__total_fga,shot__freq_rim,shot__freq_paint,shot__freq_mid,shot__freq_corner3,shot__freq_atb3,shot__freq_three,shot__freq_rim_plus_paint,shot__rim_fg_pct,shot__mid_fg_pct,shot__corner3_pct,shot__atb3_pct,pass__minutes,pass__passer_rating,pass__passing_score,shoot__quality,usage__creation_score,portability__score,defense__crafted_dpm,playstyle__iso_freq,playstyle__pr_handler_freq,playstyle__pr_roll_freq,playstyle__post_freq,playstyle__spotup_freq,playstyle__handoff_freq,playstyle__cut_freq,playstyle__offscreen_freq,dominance__cpm,position,ath__athleticism_source
Jalen Wilson,94.72,78,220,80,620,0.232258065,0.166129032,0.017741935,0.182258065,0.4,0.582258065,0.398387097,0.618055556,0.363636364,0.336283186,0.338709677,2031,3.9,0.39,61.3,0.23335368,5.2,-1.1,4.8,7.7,1.6,0,41.3,6.2,5.5,1.9,-2.6,G,measured
James Harden,92.14,77,220,82.75,1295,0.158301158,0.240926641,0.084942085,0.023166023,0.492664093,0.515830116,0.399227799,0.590243902,0.445454545,0.4,0.349529781,2789,8.2,0.82,74.8,0.840091296,9.3,0.5,36.1,27,0,0.8,7.3,5.2,0,0.5,3.9,F,measured
Jamison Battle,85.83,79,220,80,347,0.11815562,0.07204611,0.063400576,0.311239193,0.435158501,0.746397695,0.190201729,0.536585366,0.454545455,0.407407407,0.40397351,1042,2.9,0.29,71,0.184935858,6.4,-1.5,0,3.7,4.5,0,39.1,6.6,6.9,11.3,-2.8,G,imputed
Jaxson Hayes,81.12,84,220,87.5,223,0.807174888,0.170403587,0.00896861,0.004484305,0.00896861,0.013452915,0.977578475,0.805555556,0.5,0,0,1093,3.2,0.32,18.6,0.11523238,4.4,2.1,0,0,24.8,0,0,0,36.2,0,0.7,G-F,measured
Joe Ingles,76.36,80,220,82.25,23,0.043478261,0.260869565,0.043478261,0.086956522,0.565217391,0.652173913,0.304347826,0,0,0,0.230769231,0,0,0,47.86923077,0,5,1.307692308,0,0,0,0,0,0,0,0,0.858333333,C-F,measured
Jrue Holiday,78.76,76,220,79,573,0.230366492,0.165794066,0.069808028,0.178010471,0.356020942,0.534031414,0.396160558,0.704545455,0.45,0.303921569,0.37745098,1896,6.7,0.67,68.5,0.290191539,9.3,1.5,6,12.1,3.8,5.6,35.4,0,5.3,2.5,1.6,F,measured
Keldon Johnson,89.825,78,220,81.25,770,0.420779221,0.21038961,0.012987013,0.128571429,0.227272727,0.355844156,0.631168831,0.666666667,0.1,0.272727273,0.342857143,1838,3.1,0.31,54.1,0.349206671,2.3,-2.1,6,7.8,2.6,1.2,30.9,7.5,6.8,2,-2.3,F-G,imputed
Klay Thompson,76.5,77,220,81,877,0.080957811,0.096921323,0.191562144,0.177879133,0.45267959,0.630558723,0.177879133,0.676056338,0.404761905,0.384615385,0.392947103,1965,3.2,0.32,78.5,0.362537022,7.5,-1.7,4.2,7.2,2.8,1.8,27.9,13.9,4,14.4,-1.1,G,measured
Leonard Miller,87.71,82,220,86,15,0.466666667,0.133333333,0.066666667,0,0.333333333,0.333333333,0.6,0.714285714,0,0,0,0,0,0,56.07222222,0,5,0.144859813,0,0,0,0,0,0,0,0,-0.009009009,F,measured
Luguentz Dort,94.43,76,220,80.5,593,0.15851602,0.087689713,0.057335582,0.188870152,0.507588533,0.696458685,0.246205734,0.574468085,0.470588235,0.419642857,0.408637874,2073,3.3,0.33,60.2,0.147073684,6.8,1.2,0,3.9,3.9,0,49.8,2,5.9,0,1.1,G,measured
Marcus Smart,97.21,75,220,81.25,257,0.101167315,0.299610895,0.050583658,0.155642023,0.381322957,0.536964981,0.40077821,0.653846154,0.615384615,0.325,0.367346939,680,6.3,0.63,57.1,0.430655188,3.9,0.8,10.35,18.85,0,0,34.5,9.8,0,0,0.4,F,measured
Miles Norris,85.83,80,220,86,9,0.111111111,0.111111111,0,0,0.777777778,0.777777778,0.222222222,0,0,0,0.285714286,0,0,0,56.07222222,0,5,0.144859813,0,0,0,0,0,0,0,0,-0.009009009,F,imputed
Naji Marshall,88.82,78,220,84.75,712,0.293539326,0.344101124,0.056179775,0.148876404,0.146067416,0.29494382,0.637640449,0.708133971,0.575,0.29245283,0.278846154,1919,5,0.5,53.2,0.352575373,5.2,0,5.1,13.3,2.5,0,35.7,2.8,4.5,0,-0.2,G,measured
