player_name,position,ath__athleticism_score,ath__athleticism_source,stature__height_inches,stature__weight_lbs,stature__wingspan_in,shot__total_fga,shot__freq_rim,shot__freq_paint,shot__freq_mid,shot__freq_corner3,shot__freq_atb3,shot__freq_three,shot__freq_rim_plus_paint,shot__rim_fg_pct,shot__mid_fg_pct,shot__corner3_pct,shot__atb3_pct,pass__minutes,pass__passer_rating,pass__passing_score,shoot__quality,usage__creation_score,portability__score,defense__crafted_dpm,playstyle__iso_freq,playstyle__pr_handler_freq,playstyle__pr_roll_freq,playstyle__post_freq,playstyle__spotup_freq,playstyle__handoff_freq,playstyle__cut_freq,playstyle__offscreen_freq
Bruce Brown,G-F,85.2,measured,76,202.0,81.0,309,0.32038835,0.333333333,0.084142395,0.13592233,0.122977346,0.258899676,0.653721683,0.616161616,0.384615385,0.404761905,0.263157895,922,4.6,0.46,55.1,0.2612928258127611,2.7,-0.8,5.6,17.9,0.0,0.0,20.9,0.0,14.1,6.7
Bryce McGowens,G,75.29,measured,78,190.0,80.75,14,0.142857143,0.5,0.071428571,0.071428571,0.214285714,0.285714286,0.642857143,1.0,0.0,0.0,0.0,0,0.0,0.0,59.91,0.0,5.0,-0.1460526315789473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bub Carrington,G,80.625,imputed,76,190.0,80.0,748,0.122994652,0.14171123,0.191176471,0.084224599,0.45855615,0.542780749,0.264705882,0.532608696,0.475524476,0.333333333,0.341107872,2458,7.4,0.74,59.5,0.2892118389070182,6.2,-0.4,5.1,29.5,0.0,0.0,22.7,11.0,3.4,1.8
Buddy Hield,G,80.625,imputed,76,220.0,81.25,786,0.142493639,0.091603053,0.067430025,0.171755725,0.525445293,0.697201018,0.234096692,0.651785714,0.339622642,0.385185185,0.365617433,1863,2.9,0.29,70.5,0.3312578246279095,7.3,-0.7,2.3,6.0,1.7,0.0,27.2,8.3,3.3,18.9
CJ McCollum,G,85.05,measured,75,190.0,78.25,1000,0.187,0.219,0.135,0.068,0.391,0.459,0.406,0.620320856,0.414814815,0.352941176,0.375959079,1832,4.9,0.49,57.6,0.5801007840928076,5.0,-1.8,6.6,26.6,1.4,0.0,21.0,9.4,1.5,9.7
Cade Cunningham,G,80.625,imputed,78,220.0,84.25,1457,0.249828415,0.331503089,0.131091283,0.014413178,0.270418668,0.284831846,0.581331503,0.568681319,0.45026178,0.380952381,0.360406091,2452,8.3,0.83,67.4,0.965489935454099,8.1,-0.7,11.1,40.7,0.0,5.5,6.7,10.4,1.1,1.3
Caleb Houstan,F,80.625,imputed,80,205.0,83.0,190,0.057894737,0.042105263,0.057894737,0.294736842,0.547368421,0.842105263,0.1,0.545454545,0.363636364,0.321428571,0.442307692,788,3.2,0.32,67.0,0.0927943045232855,6.1,-0.5,0.0,0.0,7.6,0.0,50.2,0.0,4.7,8.1
Caleb Martin,G,78.73,measured,77,205.0,82.25,304,0.282894737,0.177631579,0.200657895,0.144736842,0.1875,0.332236842,0.460526316,0.581395349,0.37704918,0.477272727,0.280701754,1218,4.3,0.43,40.3,0.1777405926085352,2.2,0.2,10.45,14.35,0.0,0.0,34.0,0.0,4.9,0.0
Cam Christie,G,83.77,measured,77,190.0,80.0,24,0.333333333,0.083333333,0.041666667,0.125,0.416666667,0.541666667,0.416666667,0.5,0.0,0.0,0.2,0,0.0,0.0,59.91,0.0,5.0,-0.1460526315789473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cam Spencer,G,68.48,measured,76,205.0,77.0,82,0.109756098,0.146341463,0.109756098,0.073170732,0.56097561,0.634146341,0.256097561,0.666666667,0.333333333,0.333333333,0.369565217,252,7.5,0.75,59.91,0.2935937796462709,9.4,-0.1460526315789473,0.0,0.0,0.0,0.0,28.1,0.0,10.4,0.0
