player_name,position,ath__athleticism_score,ath__athleticism_source,stature__height_inches,stature__weight_lbs,stature__wingspan_in,shot__total_fga,shot__freq_rim,shot__freq_paint,shot__freq_mid,shot__freq_corner3,shot__freq_atb3,shot__freq_three,shot__freq_rim_plus_paint,shot__rim_fg_pct,shot__mid_fg_pct,shot__corner3_pct,shot__atb3_pct,pass__minutes,pass__passer_rating,pass__passing_score,shoot__quality
Mac McClung,G,80.625,imputed,74,185,74,2,0,0.5,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0,59.91
MarJon Beauchamp,G,85.83,imputed,79,199,84.75,65,0.230769231,0.123076923,0.2,0.153846154,0.292307692,0.446153846,0.353846154,0.733333333,0.307692308,0.3,0.368421053,156,1.5,0.15,59.91
Markelle Fultz,G,80.625,imputed,76,209,81,67,0.074626866,0.507462687,0.298507463,0.089552239,0.029850746,0.119402985,0.582089552,0.8,0.25,0.5,0.5,184,5.9,0.59,59.91
Mason Jones,G,71.85,measured,76,200,79,18,0.166666667,0.388888889,0,0.055555556,0.388888889,0.444444444,0.555555556,1,0,0,0.142857143,0,0,0,59.91
Nikola Topic,G,80.625,imputed,79,203,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.91
Paul Reed,G,85.83,imputed,81,210,85.5,142,0.457746479,0.211267606,0.133802817,0.035211268,0.161971831,0.197183099,0.669014085,0.692307692,0.473684211,0.2,0.304347826,438,4.9,0.49,59.91
Pete Nance,G,85.83,imputed,83,230,86,32,0.15625,0.03125,0.0625,0.0625,0.65625,0.71875,0.1875,0.8,0.5,0.5,0.380952381,138,5.3,0.53,59.91
Quenton Jackson,G,80.625,imputed,77,185,80,122,0.524590164,0.090163934,0.057377049,0.106557377,0.221311475,0.327868852,0.614754098,0.578125,0.142857143,0.307692308,0.407407407,381,6.9,0.69,59.91
RayJ Dennis,G,80.625,imputed,74,185,76,33,0.060606061,0.242424242,0.060606061,0.090909091,0.515151515,0.606060606,0.303030303,1,1,0,0.352941176,0,0,0,59.91
Rayan Rupert,G,74.99,measured,78,193,87,142,0.309859155,0.23943662,0.035211268,0.161971831,0.253521127,0.415492958,0.549295775,0.568181818,0.8,0.391304348,0.194444444,460,1.2,0.12,59.91
Reece Beekman,G,80.54,measured,75,185,80,107,0.355140187,0.224299065,0.046728972,0.14953271,0.224299065,0.373831776,0.579439252,0.552631579,0.2,0.25,0.125,469,7.8,0.78,59.91
Sidy Cissoko,G,90.48,measured,78,220,81.75,30,0.266666667,0.266666667,0.033333333,0.166666667,0.266666667,0.433333333,0.533333333,0.75,0,0.4,0.125,0,0,0,59.91
Stanley Umude,G,80.625,imputed,78,210,82,26,0.115384615,0.192307692,0.115384615,0.384615385,0.192307692,0.576923077,0.307692308,0.666666667,0,0.2,0.2,0,0,0,59.91
Taran Armstrong,G,80.625,imputed,78,195,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.91
Terence Davis,G,78.72,measured,76,201,81,2,0,0,0.5,0,0.5,0.5,0,0,0,0,0,0,0,0,59.91
Tre Mann,G,80.625,imputed,75,178,76,161,0.322981366,0.198757764,0.105590062,0.093167702,0.279503106,0.372670807,0.52173913,0.442307692,0.411764706,0.4,0.4,319,4.2,0.42,59.91
Trevelin Queen,G,80.625,imputed,78,190,82,147,0.31292517,0.129251701,0.034013605,0.129251701,0.367346939,0.496598639,0.442176871,0.586956522,0.2,0.421052632,0.259259259,430,4.3,0.43,59.91
Trey Alexander,G,73.855,measured,76,190,82,41,0.146341463,0.170731707,0.268292683,0.12195122,0.292682927,0.414634146,0.317073171,0.333333333,0.454545455,0.4,0.083333333,117,4.6,0.46,59.91
Tristen Newton,G,69.94,measured,77,195,80,8,0.125,0.5,0,0,0.375,0.375,0.625,1,0,0,0,0,0,0,59.91
TyTy Washington Jr.,G,80.625,imputed,75,195,80,45,0.022222222,0.311111111,0.2,0.177777778,0.288888889,0.466666667,0.333333333,1,0.333333333,0.25,0.153846154,118,6.7,0.67,59.91
Tyler Smith,G,88.67,measured,81,224,85,50,0.24,0.1,0.06,0.2,0.4,0.6,0.34,0.666666667,0.333333333,0.4,0.45,122,0.3,0.03,59.91
Tyson Etienne,G,80.625,imputed,74,188,77,52,0.115384615,0.019230769,0.019230769,0.269230769,0.576923077,0.846153846,0.134615385,0.333333333,1,0.428571429,0.233333333,151,3.2,0.32,59.91
Vlatko Cancar,G,85.83,imputed,80,236,83,26,0.346153846,0.076923077,0,0.153846154,0.423076923,0.576923077,0.423076923,0.444444444,0,0.5,0.181818182,136,2.4,0.24,59.91
Wendell Moore Jr.,G,80.625,imputed,77,215,84.75,126,0.428571429,0.158730159,0.087301587,0.174603175,0.150793651,0.325396825,0.587301587,0.611111111,0.363636364,0.409090909,0.263157895,499,4.5,0.45,59.91
Yuki Kawamura,G,80.625,imputed,68,154,71,30,0.066666667,0.066666667,0.1,0.1,0.666666667,0.766666667,0.133333333,0.5,0.666666667,0.333333333,0.3,0,0,0,59.91
Zyon Pullin,G,80.625,imputed,76,206,77,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,59.91
Ja Morant,F,80.625,imputed,74,174,78,889,0.293588301,0.310461192,0.075365579,0.059617548,0.255343082,0.31496063,0.604049494,0.62835249,0.47761194,0.320754717,0.31277533,1519,7.1,0.71,60
Jalen Smith,G-F,95.17,imputed,81,215,86.25,408,0.345588235,0.085784314,0.024509804,0.093137255,0.448529412,0.541666667,0.431372549,0.687943262,0.2,0.342105263,0.316939891,962,3.4,0.34,60
De'Aaron Fox,G,80.625,imputed,75,185,78.5,1163,0.20894239,0.296646604,0.166809974,0.056749785,0.269131556,0.325881341,0.505588994,0.658436214,0.412371134,0.348484848,0.303514377,2241,6,0.6,60.2
Luguentz Dort,G,94.43,measured,76,220,80.5,593,0.15851602,0.087689713,0.057335582,0.188870152,0.507588533,0.696458685,0.246205734,0.574468085,0.470588235,0.419642857,0.408637874,2073,3.3,0.33,60.2
Thomas Bryant,C-F,85.56,measured,82,248,90,321,0.3894081,0.118380062,0.031152648,0.165109034,0.295950156,0.46105919,0.507788162,0.672,0.8,0.41509434,0.273684211,963,3,0.3,60.2
Vit Krejci,F,80.625,imputed,80,195,83,292,0.147260274,0.126712329,0.020547945,0.157534247,0.547945205,0.705479452,0.273972603,0.720930233,0.5,0.543478261,0.40625,1153,7.6,0.76,60.3
Kessler Edwards,G-F,78.89,measured,79,203,83.25,135,0.362962963,0.2,0.037037037,0.207407407,0.192592593,0.4,0.562962963,0.653061224,0.2,0.357142857,0.461538462,608,5.3,0.53,60.4
LeBron James,F,85.83,imputed,81,250,84.25,1270,0.303937008,0.212598425,0.171653543,0.029133858,0.281102362,0.31023622,0.516535433,0.743523316,0.435779817,0.351351351,0.380952381,2444,8.4,0.84,60.4
Obi Toppin,G,85.83,imputed,81,220,86,599,0.340567613,0.121869783,0.035058431,0.20033389,0.293823038,0.494156928,0.462437396,0.784313725,0.285714286,0.45,0.318181818,1545,4.3,0.43,60.4
Zach Collins,F-C,95.17,imputed,83,250,85,302,0.407284768,0.218543046,0.01986755,0.082781457,0.268211921,0.350993377,0.625827815,0.707317073,0.5,0.28,0.308641975,977,5.7,0.57,60.4
Keaton Wallace,F,80.625,imputed,75,185,79,162,0.098765432,0.283950617,0.111111111,0.061728395,0.438271605,0.5,0.382716049,0.5625,0.222222222,0.4,0.323943662,501,7.4,0.74,60.5
Vasilije Micic,G,80.625,imputed,75,188,79,273,0.19047619,0.168498168,0.183150183,0.014652015,0.443223443,0.457875458,0.358974359,0.5,0.28,0.25,0.363636364,785,6.4,0.64,60.5
