player_id,player_name,team,position,height_raw,weight_raw,height_inches,weight_lbs
1641738,Kobe Brown,Clippers,Forward,6-7,250,79,250.0
1629650,Moses Brown,Nuggets,Center,7-2,258,86,258.0
1628973,Jalen Brunson,Knicks,Guard,6-2,190,74,190.0
1628418,Thomas Bryant,Cavaliers,Center-Forward,6-10,248,82,248.0
1641723,Kobe Bufkin,Nets,Guard,6-4,195,76,195.0
202692,Alec Burks,Heat,Guard,6-5,214,77,214.0
1630215,Jared Butler,Suns,Guard,6-3,193,75,193.0
202710,Jimmy Butler III,Warriors,Forward,6-7,230,79,230.0
1641824,Matas Buzelis,Bulls,Forward,6-10,209,82,209.0
1631288,Jamal Cain,Magic,Forward,6-6,191,78,191.0
203484,Kentavious Caldwell-Pope,Grizzlies,Guard,6-5,204,77,204.0
1641739,Toumani Camara,Trail Blazers,Forward,6-7,230,79,230.0
203991,Clint Capela,Rockets,Center,6-10,256,82,256.0
1642382,Branden Carlson,Thunder,Center,7-0,220,84,220.0
1642267,Bub Carrington,Wizards,Guard,6-4,190,76,190.0
1642269,Devin Carter,Kings,Guard,6-2,195,74,195.0
1628975,Jevon Carter,Bulls,Guard,6-1,200,73,200.0
1628976,Wendell Carter Jr.,Magic,Center-Forward,6-10,270,82,270.0
1630618,D.J. Carton,,Guard,6-3,200,75,200.0
1627936,Alex Caruso,Thunder,Guard,6-5,186,77,186.0
1642264,Stephon Castle,Spurs,Guard,6-6,215,78,215.0
1630658,Colin Castleton,Magic,Center,6-10,250,82,250.0
1630577,Julian Champagnie,Spurs,Forward,6-7,217,79,217.0
1630551,Justin Champagnie,Wizards,Guard-Forward,6-6,206,78,206.0
1642279,Ulrich Chomche,Raptors,Center,6-11,235,83,235.0
1642353,Cam Christie,Clippers,Guard,6-5,190,77,190.0
1631108,Max Christie,Mavericks,Guard,6-5,190,77,190.0
1630528,Josh Christopher,Heat,Guard,6-4,215,76,215.0
1631321,Sidy Cissoko,Trail Blazers,Guard,6-6,220,78,220.0
1641740,Jaylen Clark,Timberwolves,Guard,6-5,205,77,205.0
1629634,Brandon Clarke,Grizzlies,Forward,6-8,215,80,215.0
203903,Jordan Clarkson,Knicks,Guard,6-5,194,77,194.0
1629651,Nic Claxton,Nets,Center,6-11,215,83,215.0
1642270,Donovan Clingan,Trail Blazers,Center,7-2,280,86,280.0
1641730,Noah Clowney,Nets,Forward-Center,6-10,210,82,210.0
1629599,Amir Coffey,Bucks,Guard-Forward,6-7,210,79,210.0
1642268,Isaiah Collier,Jazz,Guard,6-4,210,76,210.0
1628381,John Collins,Clippers,Forward-Center,6-9,226,81,226.0
1641879,Yuri Collins,,Guard,6-0,190,72,190.0
1628380,Zach Collins,Bulls,Forward-Center,6-11,250,83,250.0
201144,Mike Conley,Timberwolves,Guard,6-1,175,73,175.0
1626192,Pat Connaughton,Hornets,Guard,6-5,209,77,209.0
1641731,Bilal Coulibaly,Wizards,Guard,6-7,195,79,195.0
1641741,Ricky Council IV,76ers,Guard,6-6,207,78,207.0
1628470,Torrey Craig,Celtics,Forward,6-5,221,77,221.0
1642384,Isaiah Crawford,Rockets,Forward,6-6,220,78,220.0
203109,Jae Crowder,Kings,Forward,6-6,235,78,235.0
1642385,Cui Yongxi,,Forward,6-5,190,77,190.0
1630595,Cade Cunningham,Pistons,Guard,6-6,220,78,220.0
203552,Seth Curry,Warriors,Guard,6-1,185,73,185.0
201939,Stephen Curry,Warriors,Guard,6-2,185,74,185.0
1642359,Pacôme Dadiet,Knicks,Forward,6-9,210,81,210.0
1630700,Dyson Daniels,Hawks,Guard,6-7,199,79,199.0
1642368,N'Faly Dante,Hawks,Center,6-11,230,83,230.0
203076,Anthony Davis,Mavericks,Forward-Center,6-10,253,82,253.0
1631098,Johnny Davis,,Guard,6-4,195,76,195.0
1629056,Terence Davis,Kings,Guard,6-4,201,76,201.0
1631120,JD Davison,Rockets,Guard,6-1,195,73,195.0
201942,DeMar DeRozan,Kings,Guard-Forward,6-6,220,78,220.0
1642484,RayJ Dennis,Pacers,Guard,6-1,180,73,180.0
1628978,Donte DiVincenzo,Timberwolves,Guard,6-4,203,76,203.0
1631217,Moussa Diabaté,Hornets,Forward,6-9,210,81,210.0
1641711,Gradey Dick,Raptors,Guard-Forward,6-7,200,79,200.0
1631172,Ousmane Dieng,Thunder,Forward,6-9,185,81,185.0
1642265,Rob Dillingham,Timberwolves,Guard,6-2,175,74,175.0
203915,Spencer Dinwiddie,Hornets,Guard,6-5,215,77,215.0
1629029,Luka Dončić,Lakers,Forward-Guard,6-6,230,78,230.0
1629652,Luguentz Dort,Thunder,Guard,6-4,220,76,220.0
1630245,Ayo Dosunmu,Bulls,Guard,6-5,200,77,200.0
1630288,Jeff Dowtin Jr.,76ers,Guard,6-3,177,75,177.0
1628408,PJ Dozier,,Guard-Forward,6-6,205,78,205.0
203083,Andre Drummond,76ers,Center,6-11,279,83,279.0
1630537,Chris Duarte,,Guard,6-5,190,77,190.0
1642505,Alex Ducas,Thunder,Guard,6-7,220,79,220.0
1630561,David Duke Jr.,Suns,Guard,6-4,204,76,204.0
1627739,Kris Dunn,Clippers,Guard,6-3,205,75,205.0
1642346,Ryan Dunn,Suns,Forward,6-7,216,79,216.0
201142,Kevin Durant,Rockets,Forward,6-11,240,83,240.0
1631105,Jalen Duren,Pistons,Center,6-10,250,82,250.0
1631106,Tari Eason,Rockets,Forward,6-8,215,80,215.0
1641744,Zach Edey,Grizzlies,Center,7-4,305,88,305.0
1630162,Anthony Edwards,Timberwolves,Guard,6-4,225,76,225.0
1642399,Jesse Edwards,Timberwolves,Center,7-0,236,84,236.0
1642348,Justin Edwards,76ers,Forward,6-7,203,79,203.0
1630556,Kessler Edwards,Nuggets,Forward,6-7,203,79,203.0
1631165,Keon Ellis,Kings,Guard,6-4,175,76,175.0
203954,Joel Embiid,76ers,Center-Forward,7-0,280,84,280.0
1630623,Tyson Etienne,Nets,Guard,6-0,200,72,200.0
1629234,Drew Eubanks,Kings,Forward-Center,6-10,245,82,245.0
1641787,Tosan Evbuomwan,Knicks,Forward,6-8,217,80,217.0
203957,Danté Exum,Mavericks,Guard,6-5,214,77,214.0
1628981,Bruno Fernando,,Forward-Center,6-9,240,81,240.0
1642271,Kyle Filipowski,Jazz,Center,6-11,250,83,250.0
1627827,Dorian Finney-Smith,Rockets,Forward,6-7,220,79,220.0
1641745,Adam Flagler,Spurs,Guard,6-1,180,73,180.0
1642280,Trentyn Flowers,Clippers,Forward,6-9,185,81,185.0
1630201,Malachi Flynn,,Guard,6-1,185,73,185.0
1631323,Simone Fontecchio,Heat,Forward,6-7,209,79,209.0
1628368,De'Aaron Fox,Spurs,Guard,6-3,185,75,185.0
1642402,Enrique Freeman,Timberwolves,Forward,6-9,220,81,220.0
1628365,Markelle Fultz,Kings,Guard,6-4,209,76,209.0
1642277,Johnny Furphy,Pacers,Guard,6-8,200,80,200.0
1629655,Daniel Gafford,Mavericks,Forward-Center,6-10,265,82,265.0
1629636,Darius Garland,Cavaliers,Guard,6-1,192,73,192.0
1630585,Marcus Garrett,,Guard,6-5,205,77,205.0
1630568,Luka Garza,Celtics,Center,6-10,243,82,243.0
1641718,Keyonte George,Jazz,Guard,6-4,185,76,185.0
1642273,Kyshawn George,Wizards,Forward,6-8,200,80,200.0
202331,Paul George,76ers,Forward,6-8,220,80,220.0
201959,Taj Gibson,Hornets,Forward,6-9,232,81,232.0
1630581,Josh Giddey,Bulls,Guard,6-8,216,80,216.0
1628983,Shai Gilgeous-Alexander,Thunder,Guard,6-6,195,78,195.0
1630264,Anthony Gill,Wizards,Forward,6-7,230,79,230.0
