player_name,team,position,height_in,wingspan_in,length_in
Terance Mann,BKN,SF,76.75,79.75,3.0
Dwight Powell,DAL,C,81.5,84.5,3.0
Alex Toohey,GSW,PF,79.75,82.75,3.0
Ajay Mitchell,OKC,SG,75.25,78.25,3.0
Payton Pritchard,BOS,PG,73.0,76.0,3.0
Julian Champagnie,SAS,SF,79.0,82.0,3.0
Day'Ron Sharpe,,C,81.0,84.0,3.0
Reggie Bullock Jr.,,SF,77.75,80.75,3.0
Kasparas Jakučionis,MIA,PG,76.75,79.75,3.0
Jock Landale,MEM,C,83.0,86.0,3.0
Markieff Morris,,C,79.75,82.75,3.0
Tyrese Proctor,CLE,SG,76.25,79.25,3.0
Brandon Miller,CHA,SF,81.0,83.5,3.0
Cameron Johnson,DEN,SF,79.0,82.0,3.0
Vasilije Micić,,PG,76.0,79.0,3.0
Tyrese Haliburton,IND,PG,76.75,79.75,3.0
Marcus Morris Sr.,,PF,79.0,82.0,3.0
Charles Bediako,,C,84.0,87.0,3.0
Keegan Murray,SAC,PF,80.0,83.0,3.0
Seth Curry,,SG,73.0,76.0,3.0
Nick Smith Jr.,CHA,SG,77.0,80.0,3.0
Tre Jones,CHI,PG,73.0,76.0,3.0
John Collins,LAC,PF,80.25,83.25,3.0
Jalen Brunson,NYK,PG,73.0,76.0,3.0
Doug McDermott,SAC,SF,78.25,81.25,3.0
Danilo Gallinari,,PF,82.0,85.0,3.0
Oshae Brissett,,PF,79.0,82.0,3.0
Isaiah Livers,PHX,SF,78.0,81.25,3.0
Jamal Murray,DEN,PG,75.5,78.5,3.0
Johni Broome,PHI,C,81.25,84.25,3.0
Jamal Shead,TOR,PG,72.25,75.0,2.75
Patty Mills,,PG,71.25,74.0,2.75
Malik Monk,SAC,SG,74.25,77.0,2.75
Landry Shamet,,SG,76.0,78.75,2.75
Nique Clifford,SAC,SF,77.25,80.0,2.75
Kam Jones,IND,PG,75.25,78.0,2.75
Andrew Nembhard,IND,PG,75.0,77.75,2.75
Monté Morris,PHX,PG,73.25,76.0,2.75
Isaiah Hartenstein,OKC,C,83.5,86.25,2.75
Mike Muscala,,C,82.25,85.0,2.75
Cam Whitmore,WAS,SF,77.75,80.5,2.75
Zach Collins,CHI,C,82.25,85.0,2.75
Jeremiah Fears,NOP,PG,74.5,77.25,2.75
Nikola Jović,MIA,PF,81.5,84.25,2.75
Jake LaRavia,LAL,SF,78.75,81.5,2.75
Ousmane Dieng,OKC,SF,81.5,84.0,2.5
Jordan Hawkins,NOP,SG,76.25,78.75,2.5
Jonathan Isaac,ORL,PF,82.5,85.0,2.5
Tim Hardaway Jr.,DEN,SG,76.5,79.0,2.5
Jacob Gilyard,,PG,68.0,70.5,2.5
Jusuf Nurkić,UTA,C,83.5,86.0,2.5
Jaylon Tyson,CLE,SG,77.5,80.0,2.5
Jabari Smith Jr.,HOU,PF,82.5,85.0,2.5
Omer Yurtseven,,C,82.5,85.0,2.5
Franz Wagner,ORL,SF,81.0,83.5,2.5
Donte DiVincenzo,MIN,SG,75.5,78.0,2.5
Gradey Dick,TOR,SG,78.25,80.75,2.5
Sam Hauser,BOS,SF,78.75,81.25,2.5
Jakob Poeltl,TOR,C,84.25,86.75,2.5
Jalen Wilson,BKN,SF,77.5,80.0,2.5
Joe Ingles,MIN,SF,79.75,82.25,2.5
Max Strus,CLE,SG,77.0,79.5,2.5
Trae Young,ATL,PG,72.5,75.0,2.5
Ben Sheppard,IND,SG,77.25,79.75,2.5
Alperen Sengun,HOU,C,82.0,84.5,2.5
Cole Anthony,MIL,PG,74.0,76.5,2.5
Yuta Watanabe,,SF,79.75,82.0,2.25
Bobi Klintman,DET,SF,80.75,83.0,2.25
Kyle Lowry,PHI,PG,71.75,74.0,2.25
Kyrie Irving,DAL,PG,73.75,76.0,2.25
Michael Porter Jr.,BKN,PF,81.75,84.0,2.25
Zaccharie Risacher,ATL,SF,80.25,82.5,2.25
Asa Newell,ATL,PF,81.0,83.25,2.25
Isaiah Collier,UTA,PG,74.5,76.75,2.25
Alex Caruso,OKC,PG,76.0,78.0,2.0
Tristan da Silva,ORL,PF,80.25,82.25,2.0
