player_name,height_inches,weight_lbs,wingspan_in
Mouhamed Gueye,82,210.0,87.25
Rui Hachimura,80,230.0,86.0
Tyrese Haliburton,77,185.0,79.75
Tim Hardaway Jr.,77,205.0,79.0
James Harden,77,220.0,82.75
Jaden Hardy,75,198.0,81.0
Gary Harris,76,210.0,78.75
Tobias Harris,80,226.0,83.0
Josh Hart,77,215.0,80.25
Isaiah Hartenstein,84,250.0,86.25
Sam Hauser,79,217.0,81.25
Jordan Hawkins,77,190.0,78.75
Jaxson Hayes,84,220.0,87.5
Killian Hayes,77,195.0,80.0
Scoot Henderson,75,207.0,81.0
Taylor Hendricks,81,215.0,84.5
Tyler Herro,77,195.0,75.25
Buddy Hield,76,220.0,81.25
Haywood Highsmith,77,220.0,83.5
Aaron Holiday,72,185.0,79.5
Jrue Holiday,76,220.0,79.0
Ronald Holland II,80,206.0,82.75
Richaun Holmes,81,235.0,85.5
Chet Holmgren,85,208.0,90.0
Jalen Hood-Schifino,77,210.0,82.25
Al Horford,81,240.0,84.75
Talen Horton-Tucker,76,234.0,85.25
Caleb Houstan,80,205.0,83.0
Jett Howard,78,215.0,81.0
Kevin Huerter,79,198.0,79.5
De'Andre Hunter,80,221.0,86.0
Bones Hyland,74,169.0,81.5
Oso Ighodaro,83,235.0,83.0
Joe Ingles,80,220.0,82.25
Brandon Ingram,80,190.0,87.0
Harrison Ingram,77,230.0,84.25
Kyrie Irving,74,195.0,76.0
Jonathan Isaac,82,230.0,85.0
Jaden Ivey,75,195.0,81.0
GG Jackson,81,210.0,83.5
Isaiah Jackson,80,205.0,86.25
Reggie Jackson,74,208.0,83.25
Andre Jackson Jr.,78,209.0,81.75
Jaren Jackson Jr.,82,242.0,89.25
Trayce Jackson-Davis,81,245.0,85.0
Bronny James,75,210.0,79.25
LeBron James,81,250.0,84.25
Jaime Jaquez Jr.,78,225.0,81.5
Ty Jerome,77,195.0,76.0
Isaiah Joe,75,165.0,79.5
AJ Johnson,77,160.0,80.5
Cameron Johnson,80,210.0,82.0
Jalen Johnson,80,219.0,84.25
Keldon Johnson,78,220.0,81.25
Keon Johnson,77,185.0,79.25
Nikola Jokić,83,284.0,87.0
Colby Jones,78,207.0,80.0
Dillon Jones,77,235.0,83.0
Herbert Jones,79,206.0,84.25
Tre Jones,73,185.0,76.0
Tyus Jones,73,196.0,77.0
Derrick Jones Jr.,78,210.0,84.0
DeAndre Jordan,83,265.0,90.0
Cory Joseph,74,200.0,77.5
Nikola Jović,82,205.0,84.25
Luke Kennard,77,206.0,77.25
Walker Kessler,86,245.0,88.25
Corey Kispert,78,224.0,79.0
Maxi Kleber,82,240.0,82.75
Bobi Klintman,81,225.0,83.0
Dalton Knecht,78,215.0,81.0
Tyler Kolek,74,195.0,74.75
Christian Koloko,84,225.0,89.25
John Konchar,77,210.0,80.0
