player_id,player_name,team,position,portability_score,portability_source,age,mp
1627752,Taurean Prince,,F,9.4,provided_list,31.0,2166.0
1631157,Ryan Rollins,,G,5.8,provided_list,23.0,820.0
1631123,Jamaree Bouyea,,G,5.0,default_5.0,,
1630649,Stanley Umude,,G,5.0,default_5.0,,
1628398,Kyle Kuzma,,F,1.5,provided_list,30.0,1936.0
1631260,AJ Green,,G,9.3,provided_list,26.0,1659.0
1641890,Tyler Smith,,F,5.3,provided_list,21.0,122.0
1626192,Pat Connaughton,,G,6.4,provided_list,33.0,603.0
203507,Giannis Antetokounmpo,,F,3.0,provided_list,31.0,2289.0
1631250,Pete Nance,,F,6.5,provided_list,25.0,138.0
1641748,Andre Jackson Jr.,,G,2.0,provided_list,24.0,980.0
1628978,Donte DiVincenzo,,G,9.1,provided_list,29.0,1606.0
1630545,Terrence Shannon Jr.,,G-F,5.2,provided_list,25.0,339.0
1630183,Jaden McDaniels,,F,5.2,provided_list,25.0,2614.0
1642265,Rob Dillingham,,G,0.3,provided_list,21.0,516.0
1630162,Anthony Edwards,,G,8.2,provided_list,24.0,2871.0
204060,Joe Ingles,,F-G,5.0,default_5.0,,
1631169,Josh Minott,,F,6.7,provided_list,23.0,276.0
1629638,Nickeil Alexander-Walker,,G,7.5,provided_list,27.0,2073.0
201144,Mike Conley,,G,9.5,provided_list,38.0,1756.0
1629675,Naz Reid,,C-F,8.2,provided_list,26.0,2200.0
1641803,Tristen Newton,,G,5.0,default_5.0,,
1642399,Jesse Edwards,,C,5.0,default_5.0,,
1641740,Jaylen Clark,,G,5.3,provided_list,24.0,522.0
203497,Rudy Gobert,,C,2.9,provided_list,33.0,2388.0
203944,Julius Randle,,F-C,5.9,provided_list,31.0,2226.0
1631159,Leonard Miller,,F,5.0,default_5.0,,
1630568,Luka Garza,,C,2.5,provided_list,27.0,219.0
1630538,Bones Hyland,,G,6.0,provided_list,25.0,239.0
1641727,Dariq Whitehead,,G-F,2.9,provided_list,21.0,246.0
1626156,D'Angelo Russell,,G,6.3,provided_list,29.0,1480.0
1629661,Cameron Johnson,,F,8.5,provided_list,29.0,1800.0
1641736,Reece Beekman,,G,0.5,provided_list,24.0,469.0
1630533,Ziaire Williams,,F,3.2,provided_list,24.0,1541.0
1630570,Trendon Watford,,G-F,5.5,provided_list,25.0,913.0
1630623,Tyson Etienne,,G,0.6,provided_list,26.0,151.0
1641787,Tosan Evbuomwan,,F,1.8,provided_list,24.0,665.0
1631213,Tyrese Martin,,F,5.5,provided_list,26.0,1315.0
1629001,De'Anthony Melton,,G,5.6,provided_list,27.0,121.0
1630549,Day'Ron Sharpe,,C,3.1,provided_list,24.0,907.0
1641730,Noah Clowney,,F-C,2.0,provided_list,21.0,1042.0
1630592,Jalen Wilson,,F,5.2,provided_list,25.0,2031.0
1630560,Cam Thomas,,G,5.4,provided_list,24.0,781.0
1631166,Drew Timme,,F,1.8,provided_list,25.0,254.0
1641721,Maxwell Lewis,,F,1.8,provided_list,23.0,327.0
1629651,Nic Claxton,,C,0.9,provided_list,26.0,1882.0
1630553,Keon Johnson,,G,2.1,provided_list,23.0,1925.0
200782,P.J. Tucker,,F,5.0,default_5.0,,
1626153,Delon Wright,,G,2.7,provided_list,33.0,635.0
1630699,MarJon Beauchamp,,F,0.9,provided_list,25.0,156.0
1626166,Cameron Payne,,G,7.5,provided_list,31.0,1090.0
1630540,Miles McBride,,G,6.7,provided_list,25.0,1593.0
1628404,Josh Hart,,G,7.4,provided_list,30.0,2897.0
1642359,Pacôme Dadiet,,F,5.0,default_5.0,,
1630173,Precious Achiuwa,,F,0.7,provided_list,26.0,1170.0
1628384,OG Anunoby,,F-G,5.6,provided_list,28.0,2706.0
1641755,Kevin McCullar Jr.,,G,5.0,default_5.0,,
1628973,Jalen Brunson,,G,5.7,provided_list,29.0,2301.0
1642278,Tyler Kolek,,G,2.9,provided_list,24.0,296.0
1629011,Mitchell Robinson,,C-F,2.2,provided_list,27.0,290.0
1628969,Mikal Bridges,,G-F,6.6,provided_list,29.0,3036.0
1641817,Anton Watson,,F,5.0,default_5.0,,
1626157,Karl-Anthony Towns,,C-F,8.4,provided_list,30.0,2517.0
1629013,Landry Shamet,,G,5.2,provided_list,28.0,762.0
1630574,Ariel Hukporti,,C,1.2,provided_list,23.0,217.0
1641710,Anthony Black,,G,2.6,provided_list,22.0,1887.0
1628371,Jonathan Isaac,,F,1.2,provided_list,28.0,1090.0
1631216,Caleb Houstan,,G,6.1,provided_list,23.0,788.0
1630217,Desmond Bane,,G,8.5,provided_list,27.0,2205.0
1630591,Jalen Suggs,,G,2.2,provided_list,24.0,1002.0
1631094,Paolo Banchero,,F,2.8,provided_list,23.0,1582.0
1630644,Mac McClung,,G,5.0,default_5.0,,
202709,Cory Joseph,,G,6.7,provided_list,34.0,612.0
1630243,Trevelin Queen,,G,1.0,provided_list,28.0,430.0
1641724,Jett Howard,,G,1.8,provided_list,22.0,701.0
203914,Gary Harris,,G,2.8,provided_list,31.0,711.0
