team,player_name,player_id,position,name_key,unnamed:_0,year,player,height,weight,position_bsp,bsparq,nba_pct,bsparq_imputed,bsparq_source
New Orleans Pelicans,CJ McCollum,203468,G,cj mccollum,658,2013,CJ McCollum,6' 2.25'',197,COMBO G,85.05,75.10%,85.05,measured
Atlanta Hawks,Clint Capela,203991,C,clint capela,,,,,,,,,93.27,imputed
Chicago Bulls,Coby White,1629632,G,coby white,,,,,,,,,80.625,imputed
Phoenix Suns,Cody Martin,1628998,F,cody martin,357,2019,Cody Martin,6' 4.75'',192.2,COMBO G,75.71,30.10%,75.71,measured
Utah Jazz,Cody Williams,1642262,F,cody williams,87,2024,Cody Williams,6' 6.50'',178.4,WING,77.03,18.80%,77.03,measured
Washington Wizards,Colby Jones,1641732,G,colby jones,163,2023,Colby Jones,6' 4.50'',199.2,WING,82.76,45.00%,82.76,measured
Memphis Grizzlies,Cole Anthony,1630175,G,cole anthony,,,,,,,,,80.625,imputed
Toronto Raptors,Colin Castleton,1630658,C,colin castleton,,,,,,,,,93.27,imputed
Phoenix Suns,Collin Gillespie,1631221,G,collin gillespie,215,2022,Collin Gillespie,6' 1.50'',195.8,PG,73.94,33.20%,73.94,measured
Utah Jazz,Collin Sexton,1629012,G,collin sexton,,,,,,,,,80.625,imputed
Washington Wizards,Corey Kispert,1630557,F,corey kispert,266,2021,Corey Kispert,6'6.0'',223.8,WING,89.37,77.40%,89.37,measured
Orlando Magic,Cory Joseph,202709,G,cory joseph,761,2011,Cory Joseph,6' 2'',186.2,PG,73.18,29.00%,73.18,measured
Cleveland Cavaliers,Craig Porter Jr.,1641854,G,craig porter jr,,,,,,,,,80.625,imputed
Atlanta Hawks,Daeqwon Plowden,1631342,G-F,daeqwon plowden,,,,,,,,,84.81,imputed
Portland Trail Blazers,Dalano Banton,1630625,F,dalano banton,,,,,,,,,85.83,imputed
Chicago Bulls,Dalen Terry,1631207,F,dalen terry,,,,,,,,,85.83,imputed
Los Angeles Lakers,Dalton Knecht,1642261,F,dalton knecht,89,2024,Dalton Knecht,6' 5.25'',212.2,WING,87.92,71.20%,87.92,measured
Milwaukee Bucks,Damian Lillard,203081,G,damian lillard,707,2012,Damian Lillard,6' 1.75'',188.8,PG,87.03,95.00%,87.03,measured
Charlotte Hornets,Damion Baugh,1641878,G,damion baugh,,,,,,,,,80.625,imputed
Phoenix Suns,Damion Lee,1627814,G-F,damion lee,,,,,,,,,84.81,imputed
Brooklyn Nets,D'Angelo Russell,1626156,G,d angelo russell,,,,,,,,,80.625,imputed
Dallas Mavericks,Daniel Gafford,1629655,F-C,daniel gafford,358,2019,Daniel Gafford,6' 9.25'',237.6,BIG,99.48,90.30%,99.48,measured
Detroit Pistons,Daniss Jenkins,1642450,G,daniss jenkins,,,,,,,,,80.625,imputed
Dallas Mavericks,Danté Exum,203957,G,dante exum,610,2014,Dante Exum,6' 4.5'',196.3,WING,83.73,50.20%,83.73,measured
Charlotte Hornets,DaQuan Jeffries,1629610,G-F,daquan jeffries,,,,,,,,,84.81,imputed
Denver Nuggets,Dario Šarić,203967,F-C,dario saric,,,,,,,,,95.17,imputed
Brooklyn Nets,Dariq Whitehead,1641727,G-F,dariq whitehead,,,,,,,,,84.81,imputed
Cleveland Cavaliers,Darius Garland,1629636,G,darius garland,,,,,,,,,80.625,imputed
Denver Nuggets,DaRon Holmes II,1641747,F,daron holmes ii,90,2024,DaRon Holmes II,6' 8.75'',236.2,BIG,87.2,38.20%,87.2,measured
San Antonio Spurs,David Duke Jr.,1630561,G,david duke jr,268,2021,David Duke Jr.,6'4.25'',203.6,WING,83.21,47.40%,83.21,measured
Houston Rockets,David Roddy,1631223,F,david roddy,216,2022,David Roddy,6' 4.50'',260.8,BIG,92.98,67.40%,92.98,measured
Miami Heat,Davion Mitchell,1630558,G,davion mitchell,,,,,,,,,80.625,imputed
Brooklyn Nets,Day'Ron Sharpe,1630549,C,day ron sharpe,,,,,,,,,93.27,imputed
San Antonio Spurs,De'Aaron Fox,1628368,G,de aaron fox,,,,,,,,,80.625,imputed
Cleveland Cavaliers,Dean Wade,1629731,F-C,dean wade,,,,,,,,,95.17,imputed
Portland Trail Blazers,Deandre Ayton,1629028,C,deandre ayton,,,,,,,,,93.27,imputed
Cleveland Cavaliers,De'Andre Hunter,1629631,F-G,de andre hunter,,,,,,,,,89.825,imputed
Denver Nuggets,DeAndre Jordan,201599,C,deandre jordan,906,2008,DeAndre Jordan,6' 9.75'',250,BIG,87.35,38.90%,87.35,measured
Brooklyn Nets,De'Anthony Melton,1629001,G,de anthony melton,,,,,,,,,80.625,imputed
New Orleans Pelicans,Dejounte Murray,1627749,G,dejounte murray,,,,,,,,,80.625,imputed
New York Knicks,Delon Wright,1626153,G,delon wright,569,2015,Delon Wright,6' 4.25'',181.4,PG,75.33,41.50%,75.33,measured
Sacramento Kings,DeMar DeRozan,201942,G-F,demar derozan,859,2009,DeMar DeRozan,6' 5.5'',211.2,WING,83.39,48.40%,83.39,measured
Portland Trail Blazers,Deni Avdija,1630166,F,deni avdija,,,,,,,,,85.83,imputed
Detroit Pistons,Dennis Schröder,203471,G,dennis schroder,661,2013,Dennis Schroder,6' 1'',164.8,PG,71.18,19.20%,71.18,measured
Dallas Mavericks,Dereck Lively II,1641726,C,dereck lively ii,,,,,,,,,93.27,imputed
Los Angeles Clippers,Derrick Jones Jr.,1627884,F,derrick jones jr,,,,,,,,,85.83,imputed
Boston Celtics,Derrick White,1628401,G,derrick white,467,2017,Derrick White,6' 3.25'',189.8,PG,80.75,74.10%,80.75,measured
Orlando Magic,Desmond Bane,1630217,G,desmond bane,,,,,,,,,80.625,imputed
Phoenix Suns,Devin Booker,1626164,G,devin booker,570,2015,Devin Booker,6' 4.5'',205.8,WING,78.69,25.30%,78.69,measured
Sacramento Kings,Devin Carter,1642269,G,devin carter,92,2024,Devin Carter,6' 2.25'',193,WING,89.51,78.00%,89.51,measured
San Antonio Spurs,Devin Vassell,1630170,G-F,devin vassell,,,,,,,,,84.81,imputed
Houston Rockets,Dillon Brooks,1628415,G-F,dillon brooks,469,2017,Dillon Brooks,6' 5'',220.2,WING,90.45,81.50%,90.45,measured
Oklahoma City Thunder,Dillon Jones,1641794,F,dillon jones,93,2024,Dillon Jones,6' 4.50'',236.8,WING,85.03,57.00%,85.03,measured
Sacramento Kings,Domantas Sabonis,1627734,F-C,domantas sabonis,,,,,,,,,95.17,imputed
Atlanta Hawks,Dominick Barlow,1631230,F,dominick barlow,218,2022,Dominick Barlow,6' 8.75'',221,BIG,85.09,28.30%,85.09,measured
Portland Trail Blazers,Donovan Clingan,1642270,C,donovan clingan,94,2024,Donovan Clingan,7' 1.75'',282,BIG,94.5,74.20%,94.5,measured
Cleveland Cavaliers,Donovan Mitchell,1628378,G,donovan mitchell,470,2017,Donovan Mitchell,6' 1.25'',211.4,WING,99.27,98.10%,99.27,measured
Minnesota Timberwolves,Donte DiVincenzo,1628978,G,donte divincenzo,424,2018,Donte DiVincenzo,6' 3.5'',200.6,WING,91.26,84.20%,91.26,measured
Los Angeles Lakers,Dorian Finney-Smith,1627827,F,dorian finney smith,525,2016,Dorian Finney-Smith,6' 6.5'',212.6,WING,91.11,83.70%,91.11,measured
Sacramento Kings,Doug McDermott,203926,F,doug mcdermott,614,2014,Doug McDermott,6' 6.25'',218,WING,84.32,53.30%,84.32,measured
Golden State Warriors,Draymond Green,203110,F,draymond green,711,2012,Draymond Green,6' 5.75'',235.6,COMBO F,88.24,55.10%,88.24,measured
Los Angeles Clippers,Drew Eubanks,1629234,F-C,drew eubanks,,,,,,,,,95.17,imputed
Boston Celtics,Drew Peterson,1641809,F,drew peterson,,,,,,,,,85.83,imputed
Brooklyn Nets,Drew Timme,1631166,F,drew timme,167,2023,Drew Timme,6' 8.75'',243.2,BIG,85.5,30.10%,85.5,measured
Miami Heat,Dru Smith,1630696,G,dru smith,,,,,,,,,80.625,imputed
Miami Heat,Duncan Robinson,1629130,F,duncan robinson,,,,,,,,,85.83,imputed
Portland Trail Blazers,Duop Reath,1641871,C,duop reath,,,,,,,,,93.27,imputed
Dallas Mavericks,Dwight Powell,203939,F-C,dwight powell,615,2014,Dwight Powell,6' 9.5'',234.4,BIG,89.02,47.40%,89.02,measured
Atlanta Hawks,Dyson Daniels,1630700,G,dyson daniels,220,2022,Dyson Daniels,6' 6.00'',195.2,WING,78.51,24.50%,78.51,measured
Chicago Bulls,E.J. Liddell,1630604,F,e j liddell,221,2022,E.J. Liddell,6' 5.50'',243,BIG,108.61,99.30%,108.61,measured
