team,player_name,player_id,position,name_key,unnamed:_0,year,player,height,weight,position_bsp,bsparq,nba_pct
Golden State Warriors,Draymond Green,203110,F,draymond green,711.0,2012.0,Draymond Green,6' 5.75'',235.6,COMBO F,88.24,55.10%
Golden State Warriors,Stephen Curry,201939,G,stephen curry,884.0,2009.0,Stephen Curry,6' 2'',181.0,COMBO G,75.26,28.10%
Golden State Warriors,Kevin Knox II,1628995,F,kevin knox ii,,,,,,,,
Golden State Warriors,Trayce Jackson-Davis,1631218,F,trayce jackson davis,204.0,2023.0,Trayce Jackson-Davis,6' 8.25'',240.4,BIG,101.59,94.20%
Golden State Warriors,Jackson Rowe,1642050,F,jackson rowe,,,,,,,,
Golden State Warriors,Pat Spencer,1630311,G,pat spencer,,,,,,,,
Houston Rockets,Aaron Holiday,1628988,G,aaron holiday,407.0,2018.0,Aaron Holiday,5' 11.75'',187.0,PG,69.67,13.30%
Houston Rockets,Amen Thompson,1641708,G-F,amen thompson,,,,,,,,
Houston Rockets,Jock Landale,1629111,C,jock landale,,,,,,,,
Houston Rockets,N'Faly Dante,1642368,C,n faly dante,124.0,2024.0,N'Faly Dante,6' 10.00'',260.2,BIG,92.72,66.20%
Houston Rockets,Jalen Green,1630224,G,jalen green,,,,,,,,
Houston Rockets,Fred VanVleet,1627832,G,fred vanvleet,,,,,,,,
Houston Rockets,Cam Whitmore,1641715,F,cam whitmore,160.0,2023.0,Cam Whitmore,6' 5.75'',235.0,WING,96.44,95.50%
Houston Rockets,Jae'Sean Tate,1630256,F,jae sean tate,,,,,,,,
Houston Rockets,Dillon Brooks,1628415,G-F,dillon brooks,469.0,2017.0,Dillon Brooks,6' 5'',220.2,WING,90.45,81.50%
Houston Rockets,Jabari Smith Jr.,1631095,F,jabari smith jr,,,,,,,,
Houston Rockets,Steven Adams,203500,C,steven adams,692.0,2013.0,Steven Adams,6' 10.75'',254.5,BIG,94.92,75.90%
Houston Rockets,Reed Sheppard,1642263,G,reed sheppard,135.0,2024.0,Reed Sheppard,6' 1.75'',181.6,PG,80.96,75.10%
Houston Rockets,Tari Eason,1631106,F,tari eason,,,,,,,,
Houston Rockets,Nate Williams,1631466,G,nate williams,,,,,,,,
Houston Rockets,Alperen Sengun,1630578,C,alperen sengun,,,,,,,,
Houston Rockets,Jeff Green,201145,F,jeff green,1001.0,2007.0,Jeff Green,6' 7'',228.0,WING,98.54,97.60%
Houston Rockets,David Roddy,1631223,F,david roddy,216.0,2022.0,David Roddy,6' 4.50'',260.8,BIG,92.98,67.40%
Houston Rockets,Jack McVeigh,1629098,G-F,jack mcveigh,,,,,,,,
Los Angeles Clippers,James Harden,201935,G,james harden,866.0,2009.0,James Harden,6' 4'',222.0,WING,92.14,86.90%
Los Angeles Clippers,Kawhi Leonard,202695,F,kawhi leonard,783.0,2011.0,Kawhi Leonard,6' 6'',227.4,WING,80.17,32.00%
Los Angeles Clippers,Seth Lundy,1641754,G-F,seth lundy,198.0,2023.0,Seth Lundy,6' 4.00'',214.4,WING,89.67,78.60%
Los Angeles Clippers,Amir Coffey,1629599,G-F,amir coffey,,,,,,,,
Los Angeles Clippers,Kris Dunn,1627739,G,kris dunn,,,,,,,,
Los Angeles Clippers,Trentyn Flowers,1642280,F,trentyn flowers,140.0,2024.0,Trentyn Flowers,6' 6.50'',201.4,WING,91.42,84.70%
Los Angeles Clippers,Bogdan Bogdanović,203992,G,bogdan bogdanovic,,,,,,,,
Los Angeles Clippers,Jordan Miller,1641757,G,jordan miller,178.0,2023.0,Jordan Miller,6' 4.50'',191.6,WING,83.17,47.20%
Los Angeles Clippers,Cam Christie,1642353,G,cam christie,84.0,2024.0,Cam Christie,6' 4.50'',190.4,WING,83.77,50.40%
Los Angeles Clippers,Drew Eubanks,1629234,F-C,drew eubanks,,,,,,,,
Los Angeles Clippers,Kobe Brown,1641738,F,kobe brown,183.0,2023.0,Kobe Brown,6' 6.50'',252.2,BIG,94.3,73.30%
