player_name,player_id,athleticism_score,athleticism_source,position
Jonathan Isaac,1628371,,imputed,F
Caleb Houstan,1631216,,imputed,G
Desmond Bane,1630217,,imputed,G
Jalen Suggs,1630591,,imputed,G
Paolo Banchero,1631094,,imputed,F
Mac McClung,1630644,,imputed,G
Cory Joseph,202709,73.18,measured,G
Trevelin Queen,1630243,,imputed,G
Jett Howard,1641724,,imputed,G
Gary Harris,203914,,imputed,G
Moritz Wagner,1629021,87.5,measured,F-C
Moritz Wagner,1629021,81.16,measured,F-C
Franz Wagner,1630532,,imputed,F
Tristan da Silva,1641783,83.86,measured,F
Wendell Carter Jr.,1628976,,imputed,C-F
Goga Bitadze,1629048,,imputed,C-F
Ethan Thompson,1630679,,imputed,G
Tyrese Haliburton,1630169,,imputed,G
Bennedict Mathurin,1631097,,imputed,G-F
Obi Toppin,1630167,,imputed,F
Andrew Nembhard,1629614,73.89,measured,G-F
Thomas Bryant,1628418,85.56,measured,C-F
Jarace Walker,1641716,108.14,measured,F
Enrique Freeman,1642402,86.65,measured,F
T.J. McConnell,204456,,imputed,G
RayJ Dennis,1642484,,imputed,G
Johnny Furphy,1642277,70.04,measured,G
Tony Bradley,1628396,83.26,measured,C-F
James Johnson,201949,100.89,measured,F
Isaiah Jackson,1630543,,imputed,F
Aaron Nesmith,1630174,,imputed,G-F
Ben Sheppard,1641767,79.32,measured,G
Quenton Jackson,1631245,,imputed,G
Myles Turner,1626167,,imputed,C-F
Pascal Siakam,1627783,91.29,measured,F
Tyrese Maxey,1630178,,imputed,G
Andre Drummond,203083,110.34,measured,C
Quentin Grimes,1629656,84.62,measured,G
Quentin Grimes,1629656,79.78,measured,G
Kyle Lowry,200768,,imputed,G
Paul George,202331,,imputed,F
Kelly Oubre Jr.,1626162,,imputed,F-G
Jeff Dowtin Jr.,1630288,,imputed,G
Jared Butler,1630215,,imputed,G
Ricky Council IV,1641741,85.55,measured,G
Lonnie Walker IV,1629022,,imputed,G-F
Jalen Hood-Schifino,1641720,,imputed,G
Justin Edwards,1642348,80.62,measured,F
Jared McCain,1642272,73.93,measured,G
Joel Embiid,203954,,imputed,C-F
Eric Gordon,201569,93.27,measured,G
Guerschon Yabusele,1627824,,imputed,F
Adem Bona,1641737,107.43,measured,F
Alex Reese,1642024,,imputed,F-C
Royce O'Neale,1626220,,imputed,F
Ryan Dunn,1642346,90.38,measured,F
Devin Booker,1626164,78.69,measured,G
Nick Richards,1630208,94.74,measured,C
Bradley Beal,203078,88.65,measured,G
Oso Ighodaro,1642345,99.74,measured,F
Grayson Allen,1628960,86.39,measured,G
Damion Lee,1627814,,imputed,G-F
Bol Bol,1629626,,imputed,C-F
Collin Gillespie,1631221,73.94,measured,G
TyTy Washington Jr.,1631102,,imputed,G
Jalen Bridges,1641779,75.49,measured,F
Cody Martin,1628998,75.71,measured,F
Cody Martin,1628998,76.6,measured,F
Vasilije Micic,203995,,imputed,G
Tyus Jones,1626145,70.83,measured,G
Mason Plumlee,203486,94.91,measured,F-C
Monté Morris,1628420,70.9,measured,G
Kevin Durant,201142,77.99,measured,F
Scoot Henderson,1630703,,imputed,G
