player_name,position,ath__athleticism_score,ath__athleticism_source,stature__height_inches,stature__weight_lbs,stature__wingspan_in,shot__total_fga,shot__freq_rim,shot__freq_paint,shot__freq_mid,shot__freq_corner3,shot__freq_atb3,shot__freq_three,shot__freq_rim_plus_paint,shot__rim_fg_pct,shot__mid_fg_pct,shot__corner3_pct,shot__atb3_pct,pass__team,pass__position,pass__minutes,pass__passer_rating,pass__passing_score,name_key,in_passing_file
Daeqwon Plowden,F,84.81,imputed,78,215.0,83.0,25.0,0.28,0.04,0.0,0.28,0.4,0.68,0.32,0.857142857,0.0,0.428571429,0.6,,,,,,daeqwon plowden,False
Daniss Jenkins,G-F,80.625,imputed,75,185.0,79.0,10.0,0.3,0.0,0.0,0.2,0.5,0.7,0.3,0.666666667,0.0,0.0,0.2,,,,,,daniss jenkins,False
David Duke Jr.,G,83.21,measured,76,207.0,80.0,14.0,0.357142857,0.142857143,0.071428571,0.357142857,0.071428571,0.428571429,0.5,0.6,0.0,0.6,0.0,,,,,,david duke jr,False
E.J. Liddell,F,108.61,measured,78,240.0,83.75,15.0,0.133333333,0.2,0.0,0.0,0.666666667,0.666666667,0.333333333,1.0,0.0,0.0,0.3,,,,,,e j liddell,False
Emanuel Miller,F,85.83,imputed,79,215.0,83.0,8.0,0.75,0.125,0.0,0.0,0.125,0.125,0.875,0.5,0.0,0.0,0.0,,,,,,emanuel miller,False
Emoni Bates,F,70.19,measured,81,202.0,81.0,38.0,0.105263158,0.0,0.105263158,0.078947368,0.710526316,0.789473684,0.105263158,0.5,0.0,0.666666667,0.333333333,,,,,,emoni bates,False
Ethan Thompson,G,80.625,imputed,77,195.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,ethan thompson,False
Harrison Ingram,F,90.475,measured,77,230.0,84.25,4.0,0.25,0.25,0.25,0.0,0.25,0.25,0.5,1.0,0.0,0.0,0.0,,,,,,harrison ingram,False
Isaiah Crawford,F,85.83,imputed,78,210.0,82.0,11.0,0.181818182,0.363636364,0.0,0.090909091,0.363636364,0.454545455,0.545454545,0.5,0.0,1.0,0.0,,,,,,isaiah crawford,False
Isaiah Jackson,F,85.83,imputed,80,205.0,86.25,23.0,0.913043478,0.086956522,0.0,0.0,0.0,0.0,1.0,0.619047619,0.0,0.0,0.0,,,,,,isaiah jackson,False
